2026-05-25 17:13:14 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,536'
2026-05-25 17:13:15 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:15 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:15 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,538'
2026-05-25 17:13:16 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:16 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:16 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,541'
2026-05-25 17:13:17 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:17 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:17 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,543'
2026-05-25 17:13:18 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:18 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:18 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,545'
2026-05-25 17:13:19 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:19 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:19 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,547'
2026-05-25 17:13:20 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:20 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:20 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,550'
2026-05-25 17:13:21 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:21 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:21 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,552'
2026-05-25 17:13:22 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:22 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:22 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,554'
2026-05-25 17:13:23 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:23 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
